date,county,state,fips,cases,deaths,new_cases
2020-03-06,Denver,Colorado,08031,2,0,0
2020-03-07,Denver,Colorado,08031,2,0,0
2020-03-08,Denver,Colorado,08031,2,0,0
2020-03-09,Denver,Colorado,08031,3,0,1
2020-03-10,Denver,Colorado,08031,4,0,1
2020-03-11,Denver,Colorado,08031,6,0,2
2020-03-12,Denver,Colorado,08031,9,0,3
2020-03-13,Denver,Colorado,08031,17,0,8
2020-03-14,Denver,Colorado,08031,23,0,6
2020-03-15,Denver,Colorado,08031,28,0,5
2020-03-16,Denver,Colorado,08031,28,0,0
2020-03-17,Denver,Colorado,08031,41,0,13
2020-03-18,Denver,Colorado,08031,45,0,4
2020-03-19,Denver,Colorado,08031,61,0,16
2020-03-20,Denver,Colorado,08031,79,0,18
2020-03-21,Denver,Colorado,08031,98,0,19
2020-03-22,Denver,Colorado,08031,125,0,27
2020-03-23,Denver,Colorado,08031,148,0,23
2020-03-24,Denver,Colorado,08031,176,0,28
2020-03-25,Denver,Colorado,08031,214,3,38
2020-03-26,Denver,Colorado,08031,262,3,48
2020-03-27,Denver,Colorado,08031,312,3,50
2020-03-28,Denver,Colorado,08031,367,5,55
2020-03-29,Denver,Colorado,08031,408,5,41
2020-03-30,Denver,Colorado,08031,465,6,57
2020-03-31,Denver,Colorado,08031,539,7,74
2020-04-01,Denver,Colorado,08031,586,8,47
2020-04-02,Denver,Colorado,08031,643,11,57
2020-04-03,Denver,Colorado,08031,716,14,73
2020-04-04,Denver,Colorado,08031,769,14,53
2020-04-05,Denver,Colorado,08031,825,16,56
2020-04-06,Denver,Colorado,08031,847,15,22
2020-04-07,Denver,Colorado,08031,884,31,37
2020-04-08,Denver,Colorado,08031,927,33,43
2020-04-09,Denver,Colorado,08031,1031,38,104
2020-04-10,Denver,Colorado,08031,1113,42,82
2020-04-11,Denver,Colorado,08031,1182,46,69
2020-04-12,Denver,Colorado,08031,1247,46,65
2020-04-13,Denver,Colorado,08031,1346,51,99
2020-04-14,Denver,Colorado,08031,1402,56,56
2020-04-15,Denver,Colorado,08031,1468,61,66
2020-04-16,Denver,Colorado,08031,1549,63,81
2020-04-17,Denver,Colorado,08031,1636,66,87
2020-04-18,Denver,Colorado,08031,1723,74,87
2020-04-19,Denver,Colorado,08031,1784,75,61
2020-04-20,Denver,Colorado,08031,1880,83,96
2020-04-21,Denver,Colorado,08031,2004,91,124
2020-04-22,Denver,Colorado,08031,2071,96,67
2020-04-23,Denver,Colorado,08031,2172,98,101
2020-04-24,Denver,Colorado,08031,2385,128,213
2020-04-25,Denver,Colorado,08031,2487,132,102
2020-04-26,Denver,Colorado,08031,2583,132,96
2020-04-27,Denver,Colorado,08031,2682,135,99
2020-04-28,Denver,Colorado,08031,2791,145,109
2020-04-29,Denver,Colorado,08031,2890,150,99
2020-04-30,Denver,Colorado,08031,3001,154,111
2020-05-01,Denver,Colorado,08031,3092,163,91
2020-05-02,Denver,Colorado,08031,3222,164,130
2020-05-03,Denver,Colorado,08031,3345,166,123
2020-05-04,Denver,Colorado,08031,3428,166,83
2020-05-05,Denver,Colorado,08031,3546,188,118
2020-05-06,Denver,Colorado,08031,3674,195,128
2020-05-07,Denver,Colorado,08031,3799,199,125
2020-05-08,Denver,Colorado,08031,3892,202,93
2020-05-09,Denver,Colorado,08031,4001,205,109
2020-05-10,Denver,Colorado,08031,4070,206,69
2020-05-11,Denver,Colorado,08031,4118,212,48
2020-05-12,Denver,Colorado,08031,4187,214,69
2020-05-13,Denver,Colorado,08031,4254,233,67
2020-05-14,Denver,Colorado,08031,4359,237,105
2020-05-15,Denver,Colorado,08031,4452,248,93
2020-05-16,Denver,Colorado,08031,4548,261,96
2020-05-17,Denver,Colorado,08031,4656,265,108
2020-05-18,Denver,Colorado,08031,4720,272,64
2020-05-19,Denver,Colorado,08031,4790,285,70
2020-05-20,Denver,Colorado,08031,4858,294,68
2020-05-21,Denver,Colorado,08031,4948,296,90
2020-05-22,Denver,Colorado,08031,5056,299,108
2020-05-23,Denver,Colorado,08031,5151,299,95
2020-05-24,Denver,Colorado,08031,5173,299,22
2020-05-25,Denver,Colorado,08031,5216,298,43
2020-05-26,Denver,Colorado,08031,5269,301,53
2020-05-27,Denver,Colorado,08031,5316,313,47
2020-05-28,Denver,Colorado,08031,5434,324,118
2020-05-29,Denver,Colorado,08031,5569,326,135
2020-05-30,Denver,Colorado,08031,5690,327,121
2020-05-31,Denver,Colorado,08031,5775,327,85
2020-06-01,Denver,Colorado,08031,5802,329,27
2020-06-02,Denver,Colorado,08031,5854,332,52
2020-06-03,Denver,Colorado,08031,5917,334,63
2020-06-04,Denver,Colorado,08031,5977,336,60
2020-06-05,Denver,Colorado,08031,6041,338,64
2020-06-06,Denver,Colorado,08031,6079,339,38
2020-06-07,Denver,Colorado,08031,6106,339,27
2020-06-08,Denver,Colorado,08031,6138,348,32
2020-06-09,Denver,Colorado,08031,6176,349,38
2020-06-10,Denver,Colorado,08031,6204,357,28
2020-06-11,Denver,Colorado,08031,6232,358,28
2020-06-12,Denver,Colorado,08031,6257,360,25
2020-06-13,Denver,Colorado,08031,6301,360,44
2020-06-14,Denver,Colorado,08031,6330,360,29
2020-06-15,Denver,Colorado,08031,6376,364,46
2020-06-16,Denver,Colorado,08031,6401,363,25
2020-06-17,Denver,Colorado,08031,6445,364,44
2020-06-18,Denver,Colorado,08031,6493,366,48
2020-06-19,Denver,Colorado,08031,6565,366,72
2020-06-20,Denver,Colorado,08031,6603,367,38
2020-06-21,Denver,Colorado,08031,6630,367,27
2020-06-22,Denver,Colorado,08031,6663,367,33
2020-06-23,Denver,Colorado,08031,6700,369,37
2020-06-24,Denver,Colorado,08031,6775,369,75
2020-06-25,Denver,Colorado,08031,6835,369,60
2020-06-26,Denver,Colorado,08031,6901,374,66
2020-06-27,Denver,Colorado,08031,6947,374,46
2020-06-28,Denver,Colorado,08031,7007,375,60
2020-06-29,Denver,Colorado,08031,7065,376,58
2020-06-30,Denver,Colorado,08031,7091,381,26
2020-07-01,Denver,Colorado,08031,7149,381,58
2020-07-02,Denver,Colorado,08031,7228,382,79
2020-07-03,Denver,Colorado,08031,7282,382,54
2020-07-04,Denver,Colorado,08031,7319,382,37
2020-07-05,Denver,Colorado,08031,7344,382,25
2020-07-06,Denver,Colorado,08031,7392,381,48
2020-07-07,Denver,Colorado,08031,7477,383,85
2020-07-08,Denver,Colorado,08031,7563,387,86
2020-07-09,Denver,Colorado,08031,7651,386,88
2020-07-10,Denver,Colorado,08031,7759,394,108
2020-07-11,Denver,Colorado,08031,7832,394,73
2020-07-12,Denver,Colorado,08031,7902,394,70
2020-07-13,Denver,Colorado,08031,7952,394,50
2020-07-14,Denver,Colorado,08031,8011,395,59
2020-07-15,Denver,Colorado,08031,8098,397,87
2020-07-16,Denver,Colorado,08031,8164,398,66
2020-07-17,Denver,Colorado,08031,8254,398,90
2020-07-18,Denver,Colorado,08031,8320,398,66
2020-07-19,Denver,Colorado,08031,8371,398,51
2020-07-20,Denver,Colorado,08031,8429,398,58
2020-07-21,Denver,Colorado,08031,8532,399,103
2020-07-22,Denver,Colorado,08031,8650,402,118
2020-07-23,Denver,Colorado,08031,8809,403,159
2020-07-24,Denver,Colorado,08031,8939,403,130
2020-07-25,Denver,Colorado,08031,9101,405,162
2020-07-26,Denver,Colorado,08031,9205,405,104
2020-07-27,Denver,Colorado,08031,9256,405,51
2020-07-28,Denver,Colorado,08031,9387,407,131
2020-07-29,Denver,Colorado,08031,9482,411,95
2020-07-30,Denver,Colorado,08031,9529,411,47
2020-07-31,Denver,Colorado,08031,9623,412,94
2020-08-01,Denver,Colorado,08031,9693,413,70
2020-08-02,Denver,Colorado,08031,9778,413,85
2020-08-03,Denver,Colorado,08031,9813,416,35
2020-08-04,Denver,Colorado,08031,9876,417,63
2020-08-05,Denver,Colorado,08031,9968,417,92
2020-08-06,Denver,Colorado,08031,10052,417,84
2020-08-07,Denver,Colorado,08031,10122,418,70
2020-08-08,Denver,Colorado,08031,10173,418,51
2020-08-09,Denver,Colorado,08031,10224,418,51
2020-08-10,Denver,Colorado,08031,10263,419,39
2020-08-11,Denver,Colorado,08031,10319,419,56
2020-08-12,Denver,Colorado,08031,10370,420,51
2020-08-13,Denver,Colorado,08031,10426,420,56
2020-08-14,Denver,Colorado,08031,10471,420,45
2020-08-15,Denver,Colorado,08031,10508,420,37
2020-08-16,Denver,Colorado,08031,10572,420,64
2020-08-17,Denver,Colorado,08031,10607,426,35
2020-08-18,Denver,Colorado,08031,10651,426,44
2020-08-19,Denver,Colorado,08031,10691,426,40
2020-08-20,Denver,Colorado,08031,10732,426,41
2020-08-21,Denver,Colorado,08031,10789,426,57
2020-08-22,Denver,Colorado,08031,10842,426,53
2020-08-23,Denver,Colorado,08031,10901,426,59
2020-08-24,Denver,Colorado,08031,10931,426,30
2020-08-25,Denver,Colorado,08031,11038,426,107
2020-08-26,Denver,Colorado,08031,11021,426,-17
2020-08-27,Denver,Colorado,08031,11077,428,56
2020-08-28,Denver,Colorado,08031,11147,429,70
2020-08-29,Denver,Colorado,08031,11196,429,49
2020-08-30,Denver,Colorado,08031,11225,429,29
2020-08-31,Denver,Colorado,08031,11265,434,40
2020-09-01,Denver,Colorado,08031,11307,434,42
2020-09-02,Denver,Colorado,08031,11339,434,32
2020-09-03,Denver,Colorado,08031,11366,434,27
2020-09-04,Denver,Colorado,08031,11417,434,51
2020-09-05,Denver,Colorado,08031,11479,434,62
2020-09-06,Denver,Colorado,08031,11500,434,21
2020-09-07,Denver,Colorado,08031,11557,434,57
2020-09-08,Denver,Colorado,08031,11579,434,22
2020-09-09,Denver,Colorado,08031,11592,434,13
2020-09-10,Denver,Colorado,08031,11627,434,35
2020-09-11,Denver,Colorado,08031,11685,434,58
2020-09-12,Denver,Colorado,08031,11760,434,75
2020-09-13,Denver,Colorado,08031,11816,434,56
2020-09-14,Denver,Colorado,08031,11883,437,67
2020-09-15,Denver,Colorado,08031,11976,437,93
2020-09-16,Denver,Colorado,08031,12055,437,79
2020-09-17,Denver,Colorado,08031,12148,438,93
2020-09-18,Denver,Colorado,08031,12239,438,91
2020-09-19,Denver,Colorado,08031,12313,438,74
2020-09-20,Denver,Colorado,08031,12422,438,109
2020-09-21,Denver,Colorado,08031,12514,440,92
2020-09-22,Denver,Colorado,08031,12591,440,77
2020-09-23,Denver,Colorado,08031,12718,440,127
2020-09-24,Denver,Colorado,08031,12825,440,107
2020-09-25,Denver,Colorado,08031,12945,440,120
2020-09-26,Denver,Colorado,08031,13011,440,66
2020-09-27,Denver,Colorado,08031,13116,440,105
2020-09-28,Denver,Colorado,08031,13241,440,125
2020-09-29,Denver,Colorado,08031,13298,441,57
2020-09-30,Denver,Colorado,08031,13404,441,106
2020-10-01,Denver,Colorado,08031,13519,441,115
2020-10-02,Denver,Colorado,08031,13636,441,117
2020-10-03,Denver,Colorado,08031,13755,441,119
2020-10-04,Denver,Colorado,08031,13834,441,79
2020-10-05,Denver,Colorado,08031,13956,447,122
2020-10-06,Denver,Colorado,08031,14036,447,80
2020-10-07,Denver,Colorado,08031,14212,447,176
2020-10-08,Denver,Colorado,08031,14383,447,171
2020-10-09,Denver,Colorado,08031,14469,447,86
2020-10-10,Denver,Colorado,08031,14666,447,197
2020-10-11,Denver,Colorado,08031,14821,447,155
2020-10-12,Denver,Colorado,08031,14970,449,149
2020-10-13,Denver,Colorado,08031,15103,449,133
2020-10-14,Denver,Colorado,08031,15251,449,148
2020-10-15,Denver,Colorado,08031,15466,449,215
2020-10-16,Denver,Colorado,08031,15645,449,179
2020-10-17,Denver,Colorado,08031,15821,449,176
2020-10-18,Denver,Colorado,08031,16005,449,184
2020-10-19,Denver,Colorado,08031,16117,450,112
2020-10-20,Denver,Colorado,08031,16252,450,135
2020-10-21,Denver,Colorado,08031,16455,450,203
2020-10-22,Denver,Colorado,08031,16666,450,211
2020-10-23,Denver,Colorado,08031,16896,450,230
2020-10-24,Denver,Colorado,08031,17271,450,375
2020-10-25,Denver,Colorado,08031,17652,450,381
2020-10-26,Denver,Colorado,08031,17882,459,230
2020-10-27,Denver,Colorado,08031,18140,459,258
2020-10-28,Denver,Colorado,08031,18400,459,260
2020-10-29,Denver,Colorado,08031,18745,459,345
2020-10-30,Denver,Colorado,08031,19197,459,452
2020-10-31,Denver,Colorado,08031,19538,459,341
2020-11-01,Denver,Colorado,08031,20128,459,590
2020-11-02,Denver,Colorado,08031,20375,462,247
2020-11-03,Denver,Colorado,08031,20742,462,367
2020-11-04,Denver,Colorado,08031,21194,468,452
2020-11-05,Denver,Colorado,08031,21885,468,691
2020-11-06,Denver,Colorado,08031,22225,468,340
2020-11-07,Denver,Colorado,08031,22908,468,683
2020-11-08,Denver,Colorado,08031,23569,468,661
2020-11-09,Denver,Colorado,08031,24041,473,472
2020-11-10,Denver,Colorado,08031,24541,481,500
2020-11-11,Denver,Colorado,08031,25275,482,734
2020-11-12,Denver,Colorado,08031,26097,482,822
2020-11-13,Denver,Colorado,08031,26751,482,654
2020-11-14,Denver,Colorado,08031,27316,482,565
2020-11-15,Denver,Colorado,08031,27986,482,670
2020-11-16,Denver,Colorado,08031,28654,491,668
2020-11-17,Denver,Colorado,08031,29229,491,575
2020-11-18,Denver,Colorado,08031,30082,492,853
2020-11-19,Denver,Colorado,08031,30631,493,549
2020-11-20,Denver,Colorado,08031,31540,494,909
2020-11-21,Denver,Colorado,08031,32087,502,547
2020-11-22,Denver,Colorado,08031,32836,506,749
2020-11-23,Denver,Colorado,08031,33404,507,568
2020-11-24,Denver,Colorado,08031,33971,510,567
2020-11-25,Denver,Colorado,08031,34816,515,845
2020-11-26,Denver,Colorado,08031,35075,521,259
2020-11-27,Denver,Colorado,08031,35787,523,712
2020-11-28,Denver,Colorado,08031,36232,526,445
2020-11-29,Denver,Colorado,08031,36618,527,386
2020-11-30,Denver,Colorado,08031,37033,531,415
2020-12-01,Denver,Colorado,08031,37421,539,388
2020-12-02,Denver,Colorado,08031,37938,547,517
2020-12-03,Denver,Colorado,08031,38756,547,818
2020-12-04,Denver,Colorado,08031,38825,552,69
2020-12-05,Denver,Colorado,08031,39582,566,757
2020-12-06,Denver,Colorado,08031,40078,567,496
2020-12-07,Denver,Colorado,08031,40429,571,351
2020-12-08,Denver,Colorado,08031,40714,582,285
2020-12-09,Denver,Colorado,08031,41053,582,339
2020-12-10,Denver,Colorado,08031,41624,592,571
2020-12-11,Denver,Colorado,08031,42228,593,604
2020-12-12,Denver,Colorado,08031,42590,612,362
2020-12-13,Denver,Colorado,08031,42590,612,0
2020-12-14,Denver,Colorado,08031,43057,623,467
2020-12-15,Denver,Colorado,08031,43335,626,278
2020-12-16,Denver,Colorado,08031,43591,635,256
2020-12-17,Denver,Colorado,08031,43979,642,388
2020-12-18,Denver,Colorado,08031,44353,642,374
2020-12-19,Denver,Colorado,08031,44645,649,292
2020-12-20,Denver,Colorado,08031,44854,650,209
2020-12-21,Denver,Colorado,08031,45104,647,250
2020-12-22,Denver,Colorado,08031,45365,648,261
2020-12-23,Denver,Colorado,08031,45666,654,301
2020-12-24,Denver,Colorado,08031,45920,654,254
2020-12-25,Denver,Colorado,08031,46258,654,338
2020-12-26,Denver,Colorado,08031,46455,658,197
2020-12-27,Denver,Colorado,08031,46570,658,115
2020-12-28,Denver,Colorado,08031,46708,662,138
2020-12-29,Denver,Colorado,08031,46917,667,209
2020-12-30,Denver,Colorado,08031,47353,672,436
2020-12-31,Denver,Colorado,08031,47711,674,358
